CustomerID,SubscriptionID,ServiceType,SubscriptionDate,SubscriptionStatus,MonthlyFee
8,S0001,Grammarly - Writing assistant tool.,2012-10-08,Active,$66.39
7,S0002,MyFitnessPal - Diet and exercise tracking app.,2021-06-24,Cancelled,$77.59
26,S0003,Microsoft Office 365 - Subscription for office productivity tools.,2020-05-24,Pending,$74.86
10,S0004,Noom - Weight loss and health coaching.,2013-07-28,Cancelled,$42.62
22,S0005,The Washington Post - Digital subscription for news articles.,2018-06-21,Active,$39.46
38,S0006,The New York Times - Digital subscription for news articles.,2015-03-04,Cancelled,$49.82
17,S0007,Skillshare - Online learning community with classes on creative and entrepreneurial skills.,2019-04-08,Inactive,$87.10
32,S0008,"Disney+ - Streaming service for Disney, Pixar, Marvel, Star Wars, and National Geographic content.",2021-02-10,Pending,$16.04
12,S0009,"Hulu - Streaming service for TV shows, movies, and live TV.",2013-09-06,Active,$50.13
31,S0010,The New York Times - Digital subscription for news articles.,2017-03-10,Active,$23.68
31,S0011,Spotify - Music streaming service.,2010-10-13,Inactive,$55.08
16,S0012,Kindle Unlimited - Subscription for unlimited access to books on Amazon.,2015-08-14,Active,$25.72
13,S0013,New Yorker - Digital and print subscriptions for long-form journalism and fiction.,2014-09-01,Inactive,$14.60
28,S0014,Udemy - Online courses on various topics.,2022-07-18,Inactive,$98.43
26,S0015,Audible - Audiobook subscription service.,2017-11-23,Active,$32.36
21,S0016,Netflix - Streaming service for movies and TV shows.,2018-06-12,Pending,$20.44
10,S0017,The Wall Street Journal - Digital subscription for business and financial news.,2010-11-09,Cancelled,$27.31
7,S0018,Udemy - Online courses on various topics.,2021-11-06,Pending,$47.78
20,S0019,"Adobe Creative Cloud - Subscription for creative software like Photoshop, Illustrator, and Premiere Pro.",2020-05-11,Pending,$85.25
28,S0020,Kindle Unlimited - Subscription for unlimited access to books on Amazon.,2016-03-03,Active,$98.23
17,S0021,Spotify - Music streaming service.,2019-01-14,Cancelled,$88.96
32,S0022,Evernote - Note-taking and organization app.,2010-01-26,Pending,$71.17
12,S0023,TIME Magazine - Digital and print subscriptions for news and current events.,2010-06-19,Pending,$40.90
31,S0024,"Scribd - Subscription for books, audiobooks, and documents.",2023-01-09,Pending,$17.31
32,S0025,The New York Times - Digital subscription for news articles.,2023-09-27,Active,$34.88
23,S0026,Dropbox - Cloud storage service.,2011-12-16,Inactive,$74.16
20,S0027,"Disney+ - Streaming service for Disney, Pixar, Marvel, Star Wars, and National Geographic content.",2014-10-19,Pending,$37.97
11,S0028,Noom - Weight loss and health coaching.,2013-04-02,Pending,$60.81
38,S0029,Noom - Weight loss and health coaching.,2017-06-08,Pending,$41.62
32,S0030,The New York Times - Digital subscription for news articles.,2014-07-16,Cancelled,$89.48
7,S0031,Coursera - Online courses and degrees from universities.,2013-09-14,Pending,$51.63
35,S0032,TIME Magazine - Digital and print subscriptions for news and current events.,2018-06-11,Cancelled,$18.27
13,S0033,"Adobe Creative Cloud - Subscription for creative software like Photoshop, Illustrator, and Premiere Pro.",2023-08-09,Pending,$21.21
20,S0034,LinkedIn Learning - Professional development and skill-building courses.,2022-11-23,Cancelled,$92.17
18,S0035,LinkedIn Learning - Professional development and skill-building courses.,2021-08-22,Inactive,$65.63
10,S0036,Noom - Weight loss and health coaching.,2022-08-13,Pending,$69.09
5,S0037,MyFitnessPal - Diet and exercise tracking app.,2018-05-04,Inactive,$74.78
27,S0038,Microsoft Office 365 - Subscription for office productivity tools.,2018-06-16,Cancelled,$16.10
33,S0039,Coursera - Online courses and degrees from universities.,2023-07-03,Inactive,$22.84
11,S0040,LinkedIn Learning - Professional development and skill-building courses.,2010-03-15,Active,$63.48
3,S0041,The Wall Street Journal - Digital subscription for business and financial news.,2018-10-04,Pending,$31.57
7,S0042,Evernote - Note-taking and organization app.,2012-07-25,Inactive,$73.98
28,S0043,Evernote - Note-taking and organization app.,2011-08-01,Active,$71.72
10,S0044,Noom - Weight loss and health coaching.,2014-01-28,Pending,$32.38
37,S0045,Skillshare - Online learning community with classes on creative and entrepreneurial skills.,2018-08-23,Pending,$15.00
14,S0046,The Wall Street Journal - Digital subscription for business and financial news.,2016-11-17,Inactive,$28.39
2,S0047,Amazon Prime Video - Streaming service for movies and TV shows included with Amazon Prime.,2011-03-04,Pending,$84.02
21,S0048,ComiXology Unlimited - Digital comic book subscription.,2014-04-19,Pending,$92.62
4,S0049,Dropbox - Cloud storage service.,2021-08-25,Pending,$95.42
2,S0050,Kindle Unlimited - Subscription for unlimited access to books on Amazon.,2020-01-09,Pending,$31.77
3,S0051,MasterClass - Online classes taught by experts in various fields.,2011-10-14,Cancelled,$23.04
24,S0052,The New York Times - Digital subscription for news articles.,2018-09-18,Pending,$57.61
31,S0053,Spotify - Music streaming service.,2016-05-07,Pending,$63.11
8,S0054,"Hulu - Streaming service for TV shows, movies, and live TV.",2021-07-23,Active,$59.59
40,S0055,Noom - Weight loss and health coaching.,2015-11-19,Active,$79.13
10,S0056,"Adobe Creative Cloud - Subscription for creative software like Photoshop, Illustrator, and Premiere Pro.",2020-12-10,Pending,$79.14
12,S0057,MasterClass - Online classes taught by experts in various fields.,2022-12-14,Pending,$83.50
37,S0058,Microsoft Office 365 - Subscription for office productivity tools.,2012-04-17,Cancelled,$66.04
8,S0059,Peloton - Fitness classes and workout plans.,2015-11-17,Inactive,$39.69
33,S0060,TIME Magazine - Digital and print subscriptions for news and current events.,2015-05-26,Inactive,$99.47
17,S0061,National Geographic - Digital and print subscriptions for science and nature content.,2018-09-24,Inactive,$17.20
18,S0062,Coursera - Online courses and degrees from universities.,2011-09-25,Inactive,$36.94
5,S0063,Peloton - Fitness classes and workout plans.,2011-10-04,Cancelled,$35.10
5,S0064,National Geographic - Digital and print subscriptions for science and nature content.,2011-09-24,Active,$79.38
37,S0065,"Scribd - Subscription for books, audiobooks, and documents.",2021-07-11,Inactive,$63.54
37,S0066,Kindle Unlimited - Subscription for unlimited access to books on Amazon.,2019-05-05,Inactive,$77.84
24,S0067,Udemy - Online courses on various topics.,2021-10-16,Pending,$53.25
37,S0068,National Geographic - Digital and print subscriptions for science and nature content.,2022-07-24,Pending,$16.85
37,S0069,Microsoft Office 365 - Subscription for office productivity tools.,2017-12-21,Inactive,$18.77
11,S0070,Headspace - Meditation and mindfulness app.,2018-08-02,Pending,$82.46
29,S0071,"Scribd - Subscription for books, audiobooks, and documents.",2020-05-05,Cancelled,$57.31
25,S0072,Spotify - Music streaming service.,2014-04-06,Active,$19.65
1,S0073,National Geographic - Digital and print subscriptions for science and nature content.,2022-05-03,Inactive,$17.70
32,S0074,National Geographic - Digital and print subscriptions for science and nature content.,2018-02-18,Inactive,$24.60
39,S0075,Dropbox - Cloud storage service.,2013-02-11,Active,$28.53
33,S0076,Noom - Weight loss and health coaching.,2010-03-26,Active,$54.56
31,S0077,Calm - Meditation and sleep app.,2015-05-05,Inactive,$77.15
24,S0078,The New York Times - Digital subscription for news articles.,2023-01-15,Cancelled,$35.43
13,S0079,Headspace - Meditation and mindfulness app.,2016-05-14,Active,$73.37
35,S0080,Headspace - Meditation and mindfulness app.,2021-09-16,Active,$42.05
25,S0081,Skillshare - Online learning community with classes on creative and entrepreneurial skills.,2016-04-16,Active,$19.29
39,S0082,TIME Magazine - Digital and print subscriptions for news and current events.,2012-12-17,Inactive,$89.81
40,S0083,"Scribd - Subscription for books, audiobooks, and documents.",2019-12-25,Active,$97.36
20,S0084,New Yorker - Digital and print subscriptions for long-form journalism and fiction.,2012-03-17,Inactive,$73.78
8,S0085,Spotify - Music streaming service.,2011-05-21,Inactive,$67.05
30,S0086,LinkedIn Learning - Professional development and skill-building courses.,2017-06-08,Pending,$62.41
37,S0087,Netflix - Streaming service for movies and TV shows.,2010-05-13,Active,$31.35
25,S0088,Dropbox - Cloud storage service.,2020-09-14,Active,$99.05
2,S0089,Microsoft Office 365 - Subscription for office productivity tools.,2016-08-02,Cancelled,$35.87
3,S0090,The New York Times - Digital subscription for news articles.,2014-10-15,Inactive,$16.76
28,S0091,Spotify - Music streaming service.,2010-09-15,Inactive,$16.84
19,S0092,Grammarly - Writing assistant tool.,2018-02-14,Inactive,$34.55
34,S0093,Microsoft Office 365 - Subscription for office productivity tools.,2019-11-26,Active,$34.09
2,S0094,The Wall Street Journal - Digital subscription for business and financial news.,2022-08-11,Active,$49.50
26,S0095,Udemy - Online courses on various topics.,2013-03-16,Pending,$68.94
4,S0096,Headspace - Meditation and mindfulness app.,2013-08-14,Inactive,$60.48
7,S0097,Microsoft Office 365 - Subscription for office productivity tools.,2015-08-03,Pending,$91.06
37,S0098,MasterClass - Online classes taught by experts in various fields.,2017-08-23,Cancelled,$87.06
38,S0099,"Hulu - Streaming service for TV shows, movies, and live TV.",2014-07-09,Pending,$94.68
18,S0100,"Disney+ - Streaming service for Disney, Pixar, Marvel, Star Wars, and National Geographic content.",2015-11-03,Inactive,$52.17
10,S0101,Grammarly - Writing assistant tool.,2015-05-14,Inactive,$95.83
22,S0102,The Washington Post - Digital subscription for news articles.,2022-04-25,Pending,$19.16
29,S0103,"Scribd - Subscription for books, audiobooks, and documents.",2019-05-17,Cancelled,$46.55
16,S0104,"Hulu - Streaming service for TV shows, movies, and live TV.",2017-05-07,Pending,$94.55
6,S0105,MyFitnessPal - Diet and exercise tracking app.,2014-12-23,Pending,$18.21
35,S0106,The Washington Post - Digital subscription for news articles.,2013-07-03,Inactive,$79.01
35,S0107,The Washington Post - Digital subscription for news articles.,2010-10-20,Active,$76.49
29,S0108,Grammarly - Writing assistant tool.,2015-02-28,Pending,$20.77
23,S0109,Amazon Prime Video - Streaming service for movies and TV shows included with Amazon Prime.,2016-11-06,Pending,$44.20
